ID	Name	Operator	Suburb	Postcode	State	New Website 
d98a6643-1cb1-4ae9-8e36-e5f9d7b4b3af	Yarrbat Place	Pinnacle Living	BALWYN	3103	VIC	https://www.yarrbatplace.com.au/
41617ecc-469c-4e98-9bbc-75cc10b71318	White Hills Haven	Uninting Agewell	WHITE HILLS	3550	VIC	https://www.unitingagewell.org/location/white-hills-haven/
bf77da90-2de4-4265-a9ce-6807156def6a	Valkstone	Uniting Agewell	BENTLEIGH	3204	VIC	https://www.unitingagewell.org/location/valkstone/
60e07f93-9a61-4a99-a42a-ab6869fcd8e8	The Connault	The Connault	BALWYN	3103	VIC	https://theconnault.com.au/
7ba532a4-cf74-4d36-bc89-21de901cf608	Yernga Village 	Uniting Agewell	MOUNT WAVERLEY	3149	VIC	https://www.unitingagewell.org/location/yernga/
8303b23e-236a-4bc6-9f33-bb246b8d76e4	McCauley Trentham	VMCH	TRENTHAM	3458	VIC	https://retirement.vmch.com.au/our-communities/mcauley-trentham
ab16c499-69f2-456d-81d2-1143fc963279	Selandra Rise Retirement Village	Levande	CLYDE NORTH	3978	VIC	https://www.levande.com.au/community/selandra-rise/
1ffcf6d6-8175-413c-8c3c-a54e2c88cff9	Nangare	Uniting Agewell	BURWOOD	3125	VIC	https://www.unitingagewell.org/location/nangare/
a0bd979e-b860-4e06-bdf8-156c5c07df87	Midlands Terrace Retirement Village	Levande	 BALLARAT	3350	VIC	https://www.levande.com.au/community/midlands-terrace/
ba6fa7ca-692c-49f0-ba6e-0b343525e24f	Mayflower Macleod	Mayflower 	MACLEOD	3085	VIC	https://www.mayflower.org.au/mayflower-macleod
2c20e4de-1b3e-4378-93da-200a036e7407	Murray Gardens Court	Royal Freemasons	SWAN HILL	3585	VIC	https://www.royalfreemasons.org.au/independent-living/murray-gardens-court/
f1507dd1-a40b-43f9-bd1a-a58be90d20e3	St Helena Leith Park	Abound Communities	ST HELENA	3088	VIC	https://www.aboundcommunities.org.au/locations/st-helena-leith-park
0126ac18-dc42-4de4-a48f-3071d7344af4	Kialla Gardens Retirement Village	Sheppartan villages	KIALLA	3631	VIC	https://sheppvillages.com.au/our-villages/kialla-gardens-village/
38c799bf-58c5-44af-ba6d-2bbaa277b5ca	Illoura Village	Euchuca Community for the Aged	ECHUCA	3564	VIC	https://echucaca.com.au/independent-living/#illoura-village
5b431d62-e58a-4144-987d-b5ae37830d2e	Hillview Bunyip Aged Care Retirement Village	Hillview Bunyip Aged Care Inc	BUNYIP	3815	VIC	https://hillviewbunyip.org.au/retirement-living/
eb8d06c8-e757-438f-a69b-94f4efb96558	Greenside Villas	Greenside Villas - Yinnar & District Housing Development Inc	YINNAR	3869	VIC	https://cdnews.com.au/index.php?cID=273
515e4e22-1705-4cbf-99d3-e8c6d44905ad	Lutheran Homes Group Hamilton	Lutheran Homes Group	HAMILTON	3300	VIC	https://lutheranhomes.com.au/retirement-living/hamilton/
9f7f97c4-bc86-4a7c-af97-7a419759e986	Edgarley Assisted Living	Edgarley Assisted Living	CASTERTON	3311	VIC	https://www.edgarley.com.au/service-independent/
1abe5df7-4d4f-40c4-ae6f-781f0e5db8cd	Currie Park	Abound Communities	EUROA	3666	VIC	https://www.aboundcommunities.org.au/locations/euroa-currie-park
a67bbea2-8eea-4d3a-b9c2-8d05494d777b	Creekside In Warrandyte	Warrandyte Community Retirement Housing Co-operative	WARRANDYTE	3113	VIC	https://www.warrandyte.org.au/co-op/
cb8e1e15-7703-4c12-8d0f-2702a8e788f3	Braeside Park	Abound Communities	BERWICK	3806	VIC	https://www.aboundcommunities.org.au/locations/berwick-braeside-park
0c839e8b-87c4-40b4-b3d2-2d1973bc8cdc	Banksia Court	Royal Freemasons	IRYMPLE	3498	VIC	https://www.royalfreemasons.org.au/independent-living/banksia-court/
63ce43e5-fcd4-4cc3-ac67-9cffb0710a83	Arilla Village	Levande	SOUTH MORANG	3752	VIC	https://www.levande.com.au/community/arilla/
2808aa64-7a71-4b86-9278-458044a86fa6	Ardency Kennedy Place	Ardency	RICHMOND	3121	VIC	https://ardency.com.au/locations/kennedy-place-at-richmond
c2db33d1-aef9-4c90-b74b-e7dafd1c42c0	Amarco Apartments	Uniting Agewell	KINGSVILLE	3012	VIC	https://www.unitingagewell.org/location/amarco-apartments/
b044e7a3-7afe-4eb0-86c8-addbe1195bdd	Admillan Retirement Village	Admillan 	MOONEE PONDS	3039	VIC	https://www.ardmillan.com/about
82cb1919-ac21-4b53-af4c-466b64c963fb	Acacia Court	Royal Freemasons	WHITTINGTON	3219	VIC	https://www.royalfreemasons.org.au/independent-living/acacia-court/
246b866f-fa20-48ce-b37c-e803e62cf5c3	Manningtree Hawthorn	Uniting Agewell	HAWTHORN	3122	VIC	https://www.unitingagewell.org/location/manningtree-hawthorn/
