Operator	Old Website	New Website
		
RSL Victoria		
Bolton Clarke		https://www.adventistyearbook.org/entity?EntityID=13329&section=InstOtherEnt
Lions Club		https://www.changepath.com.au/results.php?activ=543&sort=total_score-asc&page=6
		https://gorrinnvillage.weebly.com/
Anglican / Benetas		
Arpad Society		https://www.gen-agedcaredata.gov.au/getmedia/d0c1b04b-89ee-4636-aeaa-dd49dd85f2f1/VIC-Service-List-2025
Australian Unity		
Jewish Care Victoria		https://www.bnaibrith.org.au/victoria/wp-content/uploads/2025/07/2025-BB-Info-Booklet-new-and-prospective-members.pdf
Australian Unity		https://www.property.com.au/vic/castella-3777/banksia-ct/19-pid-2952315/
RCA Villages		https://beachleigh.com.au
Lions Club		
RCA Villages		https://bellarinesprings.com.au/
		
Blue Hills Group		https://bluehillsrise.com.au/
		
Australian Unity		https://www.parkopedia.com.au/parking/boyd_court_mulgrave/
		
		https://au.geoview.info/high_street,10222711953w
Australian Unity		https://www.unitingvictas.org.au/wp-content/uploads/Burwood-Heights-Factsheet-01.01.25-Final-V8.1.pdf
VMCH		https://www.gen-agedcaredata.gov.au/getmedia/0a8a3870-c56e-4cd3-85ef-0b146ab51c83/2011_service_list_australia.pdf
Australian Unity		
Olivet		https://www.my-community.com/signup
		
		http://www.gazette.vic.gov.au/gazette/Gazettes2007/GG2007P2Vol2of2.pdf
Australian Unity		https://www.boltonclarke.com.au/living-options/residential-aged-care/claremont-terrace/
		http://cliftonwatersvillage.net/
		
Australian Unity		https://www.andrews.edu/library/car/cardigital/Periodicals/Record_SPD/1989/1989_09_30.pdf
		https://warrandytediary.com.au/wp-content/uploads/2015/08/diary-web-11aug.pdf
		
		https://www.unitingvictas.org.au/services/housing/retirement-villages/vermont-dandevue-village/
		https://view.com.au/property/vic/horsham-3400/2-deakin-court/
		
RCA Villages		https://www.drysdaleretirementvillage.com.au/
		http://wdhs.net/sites/default/files/documents/13-14_penshurst_annual_report.pdf
		https://www.touristplaces.com.au/sale-vic/eastwood-park/
		https://www.instagram.com/p/DUwGjMXARpS/
Emmy Monash		https://www.communitygrants.gov.au/sites/default/files/documents/2022-06/577-2017-940-bfs-kiosk-listing.xlsx
Bellarine Community Health		https://bch.org.au/eric-tolliday-units-to-reopen-under-new-partnership-with-sirovilla/
Eventide Lutheran		https://www.agedcaremadeeasy.com.au/listings/eventide-lutheran-homes/?srsltid=AfmBOopGe6ftSTw-Gcg5NSjwYRdb_v4GFKHkZ8HUBOwRzhNa-gFmZiaG
Lions Club		https://lionsvillage.com.au/testimonials/
		
		https://www.blairsmith.com.au/brunswick-lean-to
Australian Unity		https://forestwoodclose.com.au/
		https://www.yumpu.com/en/document/view/6373111/rva-members-retirement-living-australia
Bolton Clarke		https://www.gen-agedcaredata.gov.au/getmedia/c36a5dbd-3880-48a5-b180-53c6f15fb597/Aged_Care_Service_List_2005
Glengollan		https://www.glengollan.com.au/
Goldcare		https://img.seniorshousingonline.com.au/files/2021/12/01/2834dc61803364d55ef492a17222b5cd439759f0
		
		https://retirementliving.bynder.com/m/163e1ea3aa0be407/original/GCLA_Goodwin-Close-Factsheet-October-2024.pdf
		https://www.tripadvisor.com.au/Attraction_Review-g255321-d23037224-Reviews-Goulburn_Court_House-Goulburn_New_South_Wales.html
		https://www.victoriashighcountry.com.au/listing/grant-street-monthly-market-alexandra
		https://editorials.localista.com.au/arts-and-events/legendary-aboriginal-actor-breaks-retirement
		https://www.sa-venues.com/gauteng/villas/greenside.php
Australian Unity		https://www.australianplanet.com/nunawading/retirement+homes
		https://www.asx.com.au/asx/v2/statistics/displayAnnouncement.do?display=text&issuerId=3944&announcementId=473764&documentDate=2002-03-28&documentNumber=146039
		
Havilah Inc		https://www.havilah.org.au/havilah-on-palmerston.html
Australian Unity		https://www.tricare.com.au/retirement-living/victoria/hayville-retirement-community/
		https://www.aph.gov.au/~/media/Committees/clac_ctte/estimates/bud_1415/DSS/tabled_docs/OrgListBii.pdf
Keyton		https://keyton.com.au/home/our-villages/vic/heathglen
Country Club Living		https://www.singaustralia.com.au/gig-calendar/hemsley-park-retirement-village/
		https://www.hepburnhouse.com.au/
Levande		https://www.caringco.com.au/south-morang-aged-care-homes
BASScare		https://hestercanterbury.com.au/
Arcadia Group		
Arcadia Group		https://hiddenvalleyresort.com.au
Levande		https://www.levande.com.au/community/highlands/life-and-wellbeing/location/
Keyton		https://keyton.com.au/home/our-villages/vic/highvale
		https://www.upa.org.au/locations/murray-river/hillsborough-village-vic/
		https://hillviewbunyip.org.au/retirement-living/
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/hunters-green/
Calvary		https://onefellswoop.com.au/folio/hyson-apartments/
		
		
Echuca Community for the Aged		https://echucaca.com.au/
