Operator	Old Website	New Website
		https://www.vaseyrslcare.org.au/wp-content/uploads/2024/01/Vasey-RSL-Care-Annual-Report-2021.pdf
		
		
RSL Victoria		
Airdrie House Society		
Bolton Clarke		https://alawara.com
Allambi Inc		https://www.health.gov.au/sites/default/files/2023-12/attachment_b1_-_list_of_grant_contract_22-23fy_-_dohac.xlsx
Baptcare		
Lions Club		https://public.tableau.com/app/profile/rod.diaz/viz/CharityAnalysisAustraliaTP/Who
Tigcorp		https://www.intranet.tigcorp.com.au/static/uploads/files/applewood-a4-brochure-3oct-wfjaaakqjtcn.pdf
		https://chcare.com.au/audiologist-hearing-test-clinics/hearing-aid-clinic-ararat-retirement-village/
Anglican / Benetas		
Arpad Society		https://www.health.gov.au/sites/default/files/2025-12/care-minutes-targets-in-individual-residential-care-homes-financial-year-2025-26.xlsx
Australian Unity		
Catholic Diocese		
Jewish Care Victoria		https://public.tableau.com/app/profile/rod.diaz/viz/CharityAnalysisAustraliaTP/Who
Australian Unity		https://ans-names.pitt.edu/ans/article/download/2046/2045
RCA Villages		https://beachleigh.com.au
Lions Club		https://lionsvillage.com.au/
RCA Villages		https://timesnewsgroup.com.au/surfcoasttimes/celebrating-seniors/the-benefits-of-armstrong-green-retirement-village/
		
BlueCross		
Blue Hills Group		https://bluehillsrise.com.au/
		
Australian Unity		https://boydcourt.com
		
		
Australian Unity		
VMCH		
Australian Unity		
Olivet		https://cedarvillage.com
		
		https://www.manningham.vic.gov.au/search?keys=mafia%20bot%20invite%20%E3%80%90Best%20BOT%20site%3A%20Coinsnight.com%E3%80%91cn67c2s.ILlM&field_location_target_id_verf=All&field_suburb_target_id=All&moderation_state=All&page=17
Australian Unity		
		http://cliftonwatersvillage.net/
		
Cooinda Benalla		https://www.seek.com.au/aged-care-visa-sponsorship-jobs/in-Benalla-VIC-3672
Australian Unity		https://australiancatholichistoricalsociety.com.au/wp-content/uploads/2019/12/2018_achs_journal.pdf
Australian Unity		
		
		
		https://www.unitingvictas.org.au/services/housing/retirement-villages/vermont-dandevue-village/
		
		
RCA Villages		https://drysdale.au
		http://wdhs.net/sites/default/files/documents/14-15_penshurst_annual_report.pdf
		https://propertistics.co.uk/stats/southend-on-sea/southend-west/eastwood-park/sale-rent-data/
Aveo		https://www.aveo.com.au/retirement-villages/vic/melbourne/edrington-park/
		
Emmy Monash		
Bellarine Community Health		https://bch.org.au/dietetics/
Eventide Lutheran		https://www.theweeklysource.com.au/sas-lutheran-homes-group-moves-into-victoria-with-two-regional-retirement-village-and-aged-care-acquisitions/
Lions Club		https://lionsvillage.com.au/testimonials/
Fairview		https://www.bdir.in/p/best/au/nursing-homes-in-warragul-vic
		
		https://www.51alfredstreet.com.au/location/
Australian Unity		https://forestwoodclose.com.au
		https://gardinerlodge.com
Bolton Clarke		
Glengollan		https://www.glengollan.com.au/
Goldcare		https://www.ewov.com.au/members/find-an-embedded-network-member
		
		https://retirementliving.bynder.com/m/163e1ea3aa0be407/original/GCLA_Goodwin-Close-Factsheet-October-2024.pdf
		https://www8.austlii.edu.au/au/other/nsw/NSWEPIDCP/2020/12.pdf
		https://www.anybusiness.com.au/listings/heidelberg-vic-3084-leisure-entertainment-services-print-photo-3447096
		https://www.obrienrealestate.com.au/7417974
		https://www.favestay.com.au/Explore.html
		
Australian Unity		
		https://www.goguide.com.au/find/retirement-villages-homes/Ancona-VIC/
		
		
		https://ellisjones.com.au/dandenongs-winning-aged-care-complex/
Havilah Inc		https://www.havilah.org.au/
Havilah Inc		https://www.havilah.org.au/havilah-on-palmerston.html
Australian Unity		https://www.careopinion.org.au/services/18560
		https://heatherliehomes.com.au
Keyton		https://keyton.com.au/home/our-villages/vic/heathglen
Country Club Living		http://www.retirementvillagesonline.com.au/featured.html
		https://www.hepburnhouse.com.au/
Levande		https://heritagelakes.com
BASScare		https://www.basscare.org.au/services/hester-canterbury/
Arcadia Group		
Arcadia Group		https://hiddenvalleyresort.com.au
Levande		https://www.levande.com.au/community/highlands/life-and-wellbeing/location/
Keyton		https://keyton.com.au/home/our-villages/vic/highvale
		https://www.upa.org.au/locations/murray-river/hillsborough-village-vic/
		https://hillviewbunyip.org.au/retirement-living/
Australian Unity		https://www.aveo.com.au/retirement-villages/vic/melbourne/hunters-green/
Calvary		https://onefellswoop.com.au/folio/hyson-apartments/
		
		
Echuca Community for the Aged		https://www.echucaca.com.au/wp-content/uploads/2020/09/Retirement-Village-Factsheet-Illoura-September-2020.pdf
Inala		https://www.crikey.com.au/2006/03/14/macquarie-banks-assets-the-biggest-crikey-list-ever-published/
		
Australian Unity		
Baptcare		https://myrespiteaccom.com.au/properties/baptcare-wyndham-lodge-community-residential-respite-low-care?checkin=&checkout=&guests=undefined
John Curtin		https://www.mycommunitydirectory.com.au/Victoria/Hepburn/Accommodation_Services
Ryman Healthcare		https://www.rymanhealthcare.com.au/retirement-villages/melbourne/john-flynn
Karinya		https://upperyarra.mailcommunity.com.au/news/2022-07-14/in-memory-of-val-woodman/
		https://resources.reglii.com/VGG.2016.11.3.G44.pdf
Levande		https://keilor.com.au
Kellock Lodge		https://kellocklodge.org.au/
Bolton Clarke		
Lifestyle Communities		https://kensingtongardens.com.au/shepparton-retirement-village-faqs/
		https://www.bowlsvic.org.au/wp-content/uploads/2020/01/Edna-Harling-extended-biography-Jan-2020-1.pdf
Kings Living		https://kingsliving.com.au/
