Operator	Operator Domain	Found URL	Final URL
No operator		No website	No website
No operator		No website	No website
No operator		No website	No website
Keyton		https://keyton.com.au/home/our-villages/vic/abervale	https://keyton.com.au/home/our-villages/vic/abervale
Australian Unity		https://www.australianunity.com.au/-/media/rebrandcorporate/documents/other/ayu--appendix-3b-placement-and-entitlement-offer.pdf?srsltid=AfmBOoql5I8tQovslqGu6ITsOAApy388oA4BtLqw7IlEfIbIHTdGXrRZ	https://www.australianunity.com.au/-/media/rebrandcorporate/documents/other/ayu--appendix-3b-placement-and-entitlement-offer.pdf?srsltid=AfmBOoql5I8tQovslqGu6ITsOAApy388oA4BtLqw7IlEfIbIHTdGXrRZ
RSL Victoria		No website	No website
Airdrie House Society		No website	No website
BlueCross		https://www.bluecross.com.au/	https://www.bluecross.com.au/
Bolton Clarke		https://www.boltonclarke.com.au/	https://www.boltonclarke.com.au/
Allambi Inc		No website	No website
Baptcare		https://www.baptcare.org.au/	https://www.baptcare.org.au/
RCA Villages		http://www.endeavourliving.com.au	http://www.endeavourliving.com.au
Lions Club		https://lionsclubs.org.au/	https://lionsclubs.org.au/
Tigcorp		https://www.intranet.tigcorp.com.au/terms-of-use/	https://www.intranet.tigcorp.com.au/terms-of-use/
No operator		No website	No website
Ryman Healthcare		https://www.rymanhealthcare.com.au/	https://www.rymanhealthcare.com.au/
Anglican / Benetas		https://www.benetas.com.au/files/documents/Benetas-Annual-Report-2021-2022-web.pdf	https://www.benetas.com.au/files/documents/Benetas-Annual-Report-2021-2022-web.pdf
Keyton		https://keyton.com.au/ardency-kennedy-place/for-sale	https://keyton.com.au/ardency-kennedy-place/for-sale
RSL Victoria		https://www.careopinion.org.au/services/19358	https://www.careopinion.org.au/services/19358
Levande		https://www.levande.com.au/community/arilla/for-sale/coming-soon-two-bedroom-villa-3/	https://www.levande.com.au/community/arilla/for-sale/coming-soon-two-bedroom-villa-3/
Lifestyle Communities		https://www.lifestylecommunities.com.au/retirement-villages/armstrong-creek	https://www.lifestylecommunities.com.au/retirement-villages/armstrong-creek
Arpad Society		No website	No website
Aspen Group		https://aspengroup.com.au/aspen-properties/lifestyle/wodonga-gardens/	https://aspengroup.com.au/aspen-properties/lifestyle/wodonga-gardens/
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOorNMeDQm-NDxep0L5WP_pxaDCWJqXU49piKj89R0B6HzCPhgYv1	https://www.australianunity.com.au/?srsltid=AfmBOorNMeDQm-NDxep0L5WP_pxaDCWJqXU49piKj89R0B6HzCPhgYv1
Australian Unity		https://www.australianunity.com.au/?srsltid=AfmBOopHHc-3f_fsE5kPuIQ02pClKzZe_uiD-wbnrm8XIRMg7yIBGgMs	https://www.australianunity.com.au/?srsltid=AfmBOopHHc-3f_fsE5kPuIQ02pClKzZe_uiD-wbnrm8XIRMg7yIBGgMs
Australian Unity		https://www.australianunity.com.au/help-and-support/contact?srsltid=AfmBOoqTQ9vr-BBCcz6ZCA37yq1TUfJwcu3HFgcebU7kB5qYxl7Ir_a0	https://www.australianunity.com.au/help-and-support/contact?srsltid=AfmBOoqTQ9vr-BBCcz6ZCA37yq1TUfJwcu3HFgcebU7kB5qYxl7Ir_a0
Catholic Diocese		No website	No website
Aveo		https://www.aveo.com.au/	https://www.aveo.com.au/
MiCare		https://www.micare.com.au/avondrust-village/	https://www.micare.com.au/avondrust-village/
