Village Name	Suburb	Postcode	Operator	Street Address
2 Manningtree Road	Hawthorn	3122	NULL	"2 Manningtree Road
HAWTHORN VIC 3122
Australia"
741- Life's Worth Living	Brighton East	3187	NULL	"741 Mt Dandenong Road
KILSYTH VIC 3137
Australia"
Aberlea Incorporation	Colac	3250	NULL	
Ararat Retirement Village	Ararat	3377	NULL	"27 Albert Street
ARARAT VIC 3377
Australia"
Beolite Village	Mansfield	3722	NULL	"Kidston Parade
MANSFIELD VIC 3722
Australia"
Berry Village	Clifton Hill	3068	NULL	"395 Warburton Highway 
WANDIN NORTH VIC 3139
Australia"
Bingarra Units Inc	Corryong	3707	NULL	"32A BOX STREET & CHAFFEY AVENUE
MERBEIN VIC 3505
Australia"
Botterill Court	Moonee Ponds	3039	NULL	"Ann Street
MORWELL VIC 3840
Australia"
Brumley Homes	Northcote	3070	NULL	"8 Mount Road
MORTLAKE VIC 3272
Australia"
Burrage Court Retirement Village	Reservoir	3073	NULL	"15 Burrage Street
MOE VIC 3825
Australia"
Canadian Pines	Mount Eliza	3930	NULL	"510 Kline Street
BALLARAT VIC 3350
Australia"
Chamberin Court	Northcote	3070	NULL	"2 Highfield Road
CANTERBURY VIC 3126
Australia"
Chapel Court	St Kilda	3182	NULL	"193 Wickham Road
MOORABBIN VIC 3189
Australia"
Clifton Waters Village	Clifton Springs	3222	NULL	"88 Bullumwaal Road
WY YUNG VIC 3875
Australia"
Condare Court Units	Reservoir	3073	NULL	"8 Joffre Street
CAMBERWELL VIC 3124
Australia"
Creekside in Warrandyte	Warrandyte	3113	NULL	"26 Harris Gully Road
WARRANDYTE VIC 3113
Australia"
Croajingalong Village	Mallacoota	3892	NULL	"86 Boundary Road
ORBOST VIC 3888
Australia"
Cunningham Downs Village	Northcote	3070	NULL	"Hartshorn Drive
ECHUCA VIC 3564
Australia"
Dandevue Village	Dandenong	3175	NULL	"678 Mitcham Rd
VERMONT VIC 3133
Australia"
Daniel Gunson Memorial Homes	Reservoir	3073	NULL	"14 Church Street
Cnr Church Street & Seehuesen Avenue
BRUTHEN VIC 3885
Australia"
Deakin Court	Stawell	3380	NULL	"174 Deakin Avenue
MILDURA VIC 3500
Australia"
Deakin Village	Stawell	3380	NULL	"52 & 56 Cnr Torney & Gooda Streets
TONGALA VIC 3621
Australia"
Dunkeld Independent Living Units	Dunkeld	3294	NULL	"11-13 Sterling Street
DUNKELD VIC 3294
Australia"
Eastwood Park Sale	Sale	3850	NULL	"180 Guthridge Parade
SALE VIC 3850
Australia"
Eastwood Retirement Village	Sale	3850	NULL	"20 Evergreen Way
BAIRNSDALE VIC 3875
Australia"
Ebenezer Village Inc	St Kilda	3182	NULL	"10 Warrandyte Road 
LANGWARRIN VIC 3910
Australia"
Emmaus Lodge	Reservoir	3073	NULL	"20 Murrumbeena Road 
MURRUMBEENA VIC 3163
Australia"
Essendon Terrace	Essendon	3040	NULL	"262-270 Pascoe Vale Road
ESSENDON VIC 3040
Australia"
Evergreen Retirement Village	Reservoir	3073	NULL	"11 Mcgregor Road
PAKENHAM VIC 3810
Australia"
Evergreen Retirement Village Pakenham	Pakenham	3810	NULL	"Evergreen Retirement Vlge
U 38  11 McGregor Rd
PAKENHAM VIC 3810
Australia"
Fernleigh Flats	St Kilda	3182	NULL	"Cnr Urquhart & Ripon Streets
BALLARAT VIC 3350
Australia"
Fifty One	Brunswick	3056	NULL	"51 Lynden Street
CAMBERWELL VIC 3124
Australia"
Gardiner Lodge	Hawthorn	3122	NULL	"205 Burke Road
GLEN IRIS VIC 3146
Australia"
Golden Mews Retirement Village	Berwick	3806	NULL	"9 Moss Street
NUMURKAH VIC 3636
Australia"
Golden Rise Retirement Village	Traralgon	3844	NULL	"2 Taylor Street
Golden Square VIC 3555
Australia"
Goodwin Close	Blackburn	3130	NULL	"2A St James Court 
BLACKBURN SOUTH VIC 3130
Australia"
Goodwin Village	Blackburn	3130	NULL	"20-22 Camp Street
DONALD VIC 3480
Australia"
Goulburn Court	Reservoir	3073	NULL	"45-49 Mckean Street
MOOROOPNA VIC 3629
Australia"
Grace Gardens Retirement Village	Heidelberg	3084	NULL	"1 & 2A Grace Street
GLEN WAVERLEY VIC 3150
Australia"
Grant Street	Alexandra	3714	NULL	"18-20 Grant Street 
OAKLEIGH VIC 3166
Australia"
Greenleigh	Doncaster	3108	NULL	"14-18 Manningtree Road
HAWTHORN VIC 3122
Australia"
Greenside Villas	Reservoir	3073	NULL	
Greenway Gardens	Seaford	3198	NULL	"27-29 The Greenway 
HEATHMONT VIC 3135
Australia"
Greenways Retirement Village	Seaford	3198	NULL	"326-356 Frankston-Dandenong Road
SEAFORD VIC 3198
Australia"
Greenwood Village Mews	Bundoora	3083	NULL	"52-70 Centre Dandenong Road
DINGLEY VILLAGE VIC 3172
Australia"
Griffin Park Retirement Village	Shepparton	3630	NULL	"13 Steel Street 
HEALESVILLE VIC 3777
Australia"
Gwandalan Court	Portland	3305	NULL	"Melville Street South
NUMURKAH VIC 3636
Australia"
Hamilton Village	Hamilton	3300	NULL	"78 George Street
HAMILTON VIC 3300
Australia"
Hampton Heath Retirement Village	Hampton Park	3976	NULL	
Hannah Village	Stawell	3380	NULL	"68 Wattle Grove
MULGRAVE VIC 3170
Australia"
Harmony Village	Officer	3809	NULL	"20 Zurcas Lane 
SHEPPARTON VIC 3630
Australia"
Heatherlie Homes	Heathmont	3135	NULL	"103-111 Koroit Street
WARRNAMBOOL VIC 3280
Australia"
Hepburn House	Daylesford	3460	NULL	"1-5 Daylesford-Hepburn Road
DAYLESFORD VIC 3460
Australia"
Hillsborough Village	Beechworth	3747	NULL	"32 Sydney Road 
BEECHWORTH VIC 3747
Australia"
Hillview Bunyip Aged Care Retirement Village	Bunyip	3815	NULL	"22 A'beckett Road
BUNYIP VIC 3815
Australia"
Illawong Lakeside Retirement Units (Stage 2)	Patterson Lakes	3197	NULL	"59-73 Gladesville Boulevard
PATTERSON LAKES VIC 3197
Australia"
Illawong Lakeside Units	Patterson Lakes	3197	NULL	"75-93 Gladesville Boulevard 
PATTERSON LAKES VIC 3197
Australia"
Ironbark Residences	Ironbark	3550	NULL	"41-47 Victoria Street
IRONBARK VIC 3550
Australia"
Kavanagh Court	Mordialloc	3195	NULL	"9 John Street
MORDIALLOC VIC 3195
Australia"
Kialla Gardens Retirement Village	Kialla	3631	NULL	"15 Waranga Drive
KIALLA VIC 3631
Australia"
Lakeview Villas	Nagambie	3608	NULL	"22 Church Street
NAGAMBIE VIC 3608
Australia"
Lilydale Valley Views Retirement Village	Lilydale	3140	NULL	"471 Maroondah Hwy
LILYDALE VIC 3140
Australia"
Maryborough School House Village	Maryborough	3465	NULL	"60-62 Gillies Street
MARYBOROUGH VIC 3465
Australia"
Melaleuca Village	Cowes	3922	NULL	"3 Lions Court
COWES VIC 3922
Australia"
Melba Vale Retirement Village	Coolaroo	3048	NULL	"1390 Pascoe Vale Road
COOLAROO VIC 3048
Australia"
Memorial Drive Retirement Village	Tongala	3621	NULL	"18 Purdey Street
TONGALA VIC 3621
Australia"
Millrise Units	Pakenham	3810	NULL	"1A Highview Court
PAKENHAM VIC 3810
Australia"
Moorfields Units	Hawthorn	3122	NULL	"20-26 Manningtree Road
HAWTHORN VIC 3122
Australia"
Mount Eliza Terraces	Mount Eliza	3930	NULL	"2 Mount Eliza Way
MOUNT ELIZA VIC 3930
Australia"
Mountain View Retirement Village	Leongatha	3953	NULL	"1 Dale Drive
LEONGATHA VIC 3953
Australia"
Mundarlo Units	Wangaratta	3677	NULL	"86 Murdoch Road
WANGARATTA VIC 3677
Australia"
Northwood Park Sale	Sale	3850	NULL	"Stead Street
SALE VIC 3850
Australia"
Penshurst Independent Living Units	Penshurst	3289	NULL	"103-105 Cobb & Watton Streets
PENSHURST VIC 3289
Australia"
Pinnaroo	Frankston	3199	NULL	"77-79 Glenburnie Road
Vermont VIC 3133
Australia"
Rhodoglade Retirement Village	Reservoir	3073	NULL	"1502-1504 Mount Dandenong Tourist Road
OLINDA VIC 3788
Australia"
Riverside in Warrandyte	Warrandyte	3113	NULL	"4 First Street & 10 West End Road
Warrandyte VIC 3113
Australia"
Seacliff Village	Seaford	3198	NULL	"128-130 Beach Road
PARKDALE VIC 3195
Australia"
Sheridan Hall Caulfield	Caulfield North	3161	NULL	"167-169 Hawthorn Road
CAULFIELD VIC 3162
Australia"
Sophia Grove Retirement Village Tecoma	Tecoma	3160	NULL	"2-4 Sophia Grove
TECOMA VIC 3160
Australia"
St Andrew's Close Retirement Village	Heathmont	3135	NULL	"104-108 Tyres Street
STRATFORD VIC 3862
Australia"
St Georges Court Retirement Village	Shepparton	3630	NULL	"56a High St
TRENTHAM VIC 3458
Australia"
St John's Park	Whittlesea	3757	NULL	"14 Reay Road
MOOROOLBARK VIC 3138
Australia"
St John's Retirement Village	Whittlesea	3757	NULL	"45 Park Lane
SOMERVILLE VIC 3912
Australia"
St John's Rise Retirement Living	Beaconsfield	3807	NULL	"1 Reay Rd
MOOROOLBARK VIC 3138
Australia"
St Johns' Close Colac Retirement Village	Colac	3250	NULL	"41 Pollack Street
COLAC VIC 3250
Australia"
St Joseph's Court Independent Living Units	Colac	3250	NULL	"Mcconochie Street
COLERAINE VIC 3315
Australia"
St Margaret's Community Retirement Village	Frankston South	3199	NULL	"6 St Margaret Close
KEON PARK VIC 3073
Australia"
St Mary's Community Village	Warrnambool	3280	NULL	"26-28 Harris Street
RUTHERGLEN VIC 3685
Australia"
Strathallan Independent Living Units	Macleod	3085	NULL	"Church Street
COLERAINE VIC 3315
Australia"
Sylvan Glades	Belgrave	3160	NULL	"Anderson Road 
MONBULK VIC 3793
Australia"
Tarrangower Village	Doncaster East	3109	NULL	"4 Chapel Street
MALDON VIC 3463
Australia"
The Elms Retirement Estate	Kilmore	3764	NULL	"33 The Elms Blvd
Kilmore VIC 3764
Australia"
The Elms Retirement Village	Kilmore	3764	NULL	"33 The Elms Boulevard
KILMORE VIC 3764
Australia"
The Healey Retirement Village	Moorabbin	3189	NULL	"40-44 Healey Street
MOORABBIN VIC 3189
Australia"
The Lorne Village Inc	Lorne	3232	NULL	"4 Clissold Street
LORNE VIC 3232
Australia"
The Vines	Highton	3216	NULL	"512-526 San Mateo Ave
MILDURA VIC 3500
Australia"
The Willows Supportive Care Village	Hurstbridge	3099	NULL	"74 Warrandyte Road
RINGWOOD VIC 3134
Australia"
Trafalgar & District Community Homes Inc	Trafalgar	3824	NULL	"2A Chapmans Road
TRAFALGAR VIC 3824
Australia"
Valkstone	Bentleigh East	3165	NULL	"576 Centre Road
BENTLEIGH VIC 3204
Australia"
Villa Rossi Yarragon	Yarragon	3823	NULL	"18 Rodier Road
YARRAGON VIC 3823
Australia"
Villers Place	Northcote	3070	NULL	"2 Villiers Street
SEYMOUR VIC 3660
Australia"
Waterfront Living	Seaford	3198	NULL	"Hopkins Road 
WARRNAMBOOL VIC 3280
Australia"
White Hills Haven	Bendigo	3550	NULL	"510 Napier Street
WHITE HILLS VIC 3550
Australia"
Wimmera Lodge	Horsham	3400	NULL	"8 Dumesny Street
HORSHAM VIC 3400
Australia"
Winanglo Inc Winchelsea Community Village	Winchelsea	3241	NULL	"42 Harding St
WINCHELSEA VIC 3241
Australia"
Woodend Estate	Woodend	3442	NULL	"Lot 4 Mount Macedon Road
WOODEND VIC 3442
Australia"
Yarra View Retirement Village	Mooroolbark	3138	NULL	"5 Upper Blackwood Avenue
WARBURTON VIC 3799
Australia"
Yarrbat Place	Balwyn	3103	NULL	"85 Yarrbat Avenue
BALWYN VIC 3103
Australia"
