Village Name	Suburb	Postcode	Scraped Operator	Matched Operator	Confidence	Status
741- Life's Worth Living	Brighton East	3187	MiCare	MiCare	100%	MATCHED
Berry Village	Clifton Hill	3068	Benetas	Benetas	100%	MATCHED
Canadian Pines	Mount Eliza	3930	Royal Freemasons	Royal Freemasons	100%	MATCHED
Chamberin Court	Northcote	3070	Aberlea Inc	Aberlea Inc	90%	MATCHED
Chapel Court	St Kilda	3182	Centennial Living	Centennial Living	100%	MATCHED
Clifton Waters Village	Clifton Springs	3222	Aberlea Inc	Aberlea Inc	90%	MATCHED
Condare Court Units	Reservoir	3073	Uniting AgeWell	Uniting AgeWell	100%	MATCHED
Creekside in Warrandyte	Warrandyte	3113	Aberlea Inc	Aberlea Inc	90%	MATCHED
Croajingalong Village	Mallacoota	3892	Not found	None	N/A	NO_MATCH
Cunningham Downs Village	Northcote	3070	Cumberland View	Cumberland View	100%	MATCHED
Dandevue Village	Dandenong	3175	Encore Living	Encore Living	100%	MATCHED
Daniel Gunson Memorial Homes	Reservoir	3073	Aberlea Inc	Aberlea Inc	90%	MATCHED
Deakin Court	Stawell	3380	Bendigo retirement Village	Bendigo retirement Village	100%	MATCHED
Deakin Village	Stawell	3380	Inala	Inala	100%	MATCHED
Dunkeld Independent Living Units	Dunkeld	3294	WDHS	WDHS	100%	MATCHED
Eastwood Park Sale	Sale	3850	Aberlea Inc	Aberlea Inc	90%	MATCHED
Eastwood Retirement Village	Sale	3850	Benetas	Benetas	100%	MATCHED
Ebenezer Village Inc	St Kilda	3182	Not found	None	N/A	NO_MATCH
Emmaus Lodge	Reservoir	3073	Encore Living	Encore Living	100%	MATCHED
Essendon Terrace	Essendon	3040	Ryman Healthcare	Ryman Healthcare	100%	MATCHED
Evergreen Retirement Village	Reservoir	3073	Fairview	Fairview	100%	MATCHED
Evergreen Retirement Village Pakenham	Pakenham	3810	Aberlea Inc	Aberlea Inc	90%	MATCHED
Fernleigh Flats	St Kilda	3182	Aberlea Inc	Aberlea Inc	90%	MATCHED
Fifty One	Brunswick	3056	Royal Freemasons	Royal Freemasons	100%	MATCHED
Gardiner Lodge	Hawthorn	3122	Glengollan	Glengollan	100%	MATCHED
Golden Mews Retirement Village	Berwick	3806	Not found	None	N/A	NO_MATCH
Golden Rise Retirement Village	Traralgon	3844	Not found	None	N/A	NO_MATCH
Goodwin Close	Blackburn	3130	Keyton	Keyton	100%	MATCHED
Goodwin Village	Blackburn	3130	Baptcare	Baptcare	100%	MATCHED
Grace Gardens Retirement Village	Heidelberg	3084	Aveo	Aveo	100%	MATCHED
Grant Street	Alexandra	3714	Aberlea Inc	Aberlea Inc	90%	MATCHED
Greenleigh	Doncaster	3108	Aberlea Inc	Aberlea Inc	90%	MATCHED
Greenway Gardens	Seaford	3198	Aberlea Inc	Aberlea Inc	90%	MATCHED
Greenways Retirement Village	Seaford	3198	Aberlea Inc	Aberlea Inc	90%	MATCHED
Greenwood Village Mews	Bundoora	3083	Wintringham	Wintringham	100%	MATCHED
Griffin Park Retirement Village	Shepparton	3630	Aberlea Inc	Aberlea Inc	90%	MATCHED
Gwandalan Court	Portland	3305	Mayflower	Mayflower	100%	MATCHED
Hamilton Village	Hamilton	3300	Aberlea Inc	Aberlea Inc	90%	MATCHED
Hannah Village	Stawell	3380	Aberlea Inc	Aberlea Inc	90%	MATCHED
Harmony Village	Officer	3809	Aberlea Inc	Aberlea Inc	90%	MATCHED
Heatherlie Homes	Heathmont	3135	Aberlea Inc	Aberlea Inc	90%	MATCHED
Hepburn House	Daylesford	3460	Aberlea Inc	Aberlea Inc	90%	MATCHED
Hillsborough Village	Beechworth	3747	Aberlea Inc	Aberlea Inc	90%	MATCHED
Hillview Bunyip Aged Care Retirement Village	Bunyip	3815	Not found	None	N/A	NO_MATCH
Illawong Lakeside Units	Patterson Lakes	3197	Not found	None	N/A	NO_MATCH
Ironbark Residences	Ironbark	3550	Aberlea Inc	Aberlea Inc	90%	MATCHED
Kialla Gardens Retirement Village	Kialla	3631	Aberlea Inc	Aberlea Inc	90%	MATCHED
Lakeview Villas	Nagambie	3608	Aberlea Inc	Aberlea Inc	90%	MATCHED
Lilydale Valley Views Retirement Village	Lilydale	3140	Aberlea Inc	Aberlea Inc	90%	MATCHED
