name,suburb,state,operator,facility_type,website
Sugarlands Gardens,Avoca,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Woorim Retirement Village,Woorim,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Gracehaven Retirement Village,Bundaberg,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Grant Street Retirement Village,Oakleigh,VIC,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Kilkivan Retirement Village,Newton,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Moonah Park Retirement Village,Mitchelton,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Regency Park Retirement Village,Warwick,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Sanctuary Park Retirement Community,Nambour,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
St George Serviced Apartments,St George,QLD,COFC,Serviced Apartments,https://www.catholichomes.com.au/retirement-villages/
St James Retirement Village,Heatley,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Nubeena Retirement Village,Toowoomba,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Bribie Island Retirement Village,Bongaree,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Brig-O-Doon Retirement Village,Acacia Ridge,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Chesterville Retirement Village,Cheltenham,VIC,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Crows Nest Retirement Village,Crows Nest,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Emmaus Lodge,Murrumbeena,VIC,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Fair Haven Retirement Village,Maryborough,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
Fassifern Retirement Village,Boonah,QLD,COFC,Retirement Village,https://www.catholichomes.com.au/retirement-villages/
